brand,model_year,milage,engine,accident,price,log_price,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,ext_col_Black,ext_col_Blue,ext_col_Brown,ext_col_Gold,ext_col_Gray,ext_col_Green,ext_col_Orange,ext_col_Pink,ext_col_Purple,ext_col_Red,ext_col_Silver,ext_col_Unknown,ext_col_White,ext_col_Yellow,int_col_Black,int_col_Blue,int_col_Brown,int_col_Gold,int_col_Gray,int_col_Green,int_col_Orange,int_col_Red,int_col_Silver,int_col_Unknown,int_col_White,int_col_Yellow,transmission_CVT,transmission_Manual,transmission_Other
39,2003,124756.0,130.0,1,4995.0,8.516192691082654,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,2023,2415.0,6.2,0,104900.0,11.560762794384388,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
12,2012,116226.0,288.0,0,7900.0,8.974618038455112,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,2020,37869.0,5.0,0,75950.0,11.237830508023919,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,2019,41500.0,369.0,0,86000.0,11.362102575235644,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,2013,87001.0,200.0,0,17995.0,9.79784922051313,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6,2022,4451.0,3.0,1,55655.0,10.926927199927325,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2020,27158.0,2.0,0,39998.0,10.596584731846031,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2014,139804.0,195.0,1,14500.0,9.581903928408666,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
19,2022,27300.0,285.0,0,47500.0,10.768484990022733,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2014,36812.0,240.0,0,27000.0,10.203592144986466,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,2016,144000.0,340.0,1,18000.0,9.798127036878302,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2019,44500.0,237.0,0,28900.0,10.271596874100524,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3,2021,10917.0,4.4,0,73998.0,11.211793344794042,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2005,8332.0,400.0,0,47350.0,10.765322098614224,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,2020,51247.0,3.0,0,47698.0,10.772644747276225,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
28,2016,69000.0,550.0,0,36500.0,10.505067539570582,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
34,2021,147834.0,3.6,0,32662.0,10.393967601636689,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2013,105000.0,300.0,1,6600.0,8.794824928014517,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2011,92203.0,211.0,0,9995.0,9.209840246934501,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,2010,15600.0,485.0,0,69500.0,11.149082031552883,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,2018,104700.0,6.0,1,30775.0,10.334457951052654,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
39,2010,72348.0,132.0,1,9995.0,9.209840246934501,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,2023,2500.0,0.0,0,94000.0,11.451050061252142,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
28,2022,13177.0,2.0,0,44798.0,10.709918774549411,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,2016,96000.0,416.0,1,23000.0,10.043249494911286,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
7,2011,93009.0,5.3,0,22495.0,10.021048341275273,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
17,2016,52750.0,360.0,1,28998.0,10.274982141073139,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2020,25361.0,3.0,0,49998.0,10.819738283610262,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2015,98527.0,280.0,0,9995.0,9.209840246934501,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,2023,1300.0,0.0,0,86900.0,11.372513311253483,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8,2017,87305.0,292.0,0,9000.0,9.104979856318357,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2012,72922.0,265.0,0,25999.0,10.165813354725493,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2015,41000.0,445.0,0,30000.0,10.308952660644293,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,2021,42125.0,2.5,0,27899.0,10.236346124873199,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
